,,,,,,,,,,,
Gerencia,Cadena,Plu,Nombre Plu,Subl,Sublinea,Subcat,Subcategoria,Marc,Marca,Clase Marca,Estrategia
Gran Consumo,Éxito,3060050,Detergente Liquido Floral,97,CUIDADO ROPA,1011,DETERGENTES LIQUIDOS,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,308510,Mostaza,402,SALSAS Y CONDIMENTOS,5411,MOSTAZAS NORMALES,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3101013,Bolsa Basura 43x48 Papelera,404,DESECHABLES Y AEROSOLES,5010,BOLSA BASURA PAPELERA,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3111952,Detergente Bicarbonato/Vinagre,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,24666,T/L/D TODOS LOS DIAS,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3111954,Detergente Bicarbonato/Vinagre,97,CUIDADO ROPA,1021,DETERGENTES CONVENCIONALES,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3136901,Lavaloza Crema,405,LIMPIADORES E IMPLEMENTOS ASEO,4510,LAVALOZA CREMAS/GEL,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3181319,Jabon en barra azul x 3 und,97,CUIDADO ROPA,930,JABON DE LAVAR LIMPIEZA BASICA,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3188259,Vino Blanco,95,LICORES Y CIGARRILLOS,821,VINO BLANCOS MESA,23535,CRUZARES MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,3188260,Vino tinto,95,LICORES Y CIGARRILLOS,811,VINO TINTOS MESA,23535,CRUZARES MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,3191553,Papel Higiénico x12 Rollos,67,PAPELES Y ABSORBENTES,8020,PAPEL HIGIENICO RENDIDOR,36937,CARULLA,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3197410,Vino Lambrusco Rosado,95,LICORES Y CIGARRILLOS,845,VINO ESPUMOSO Y CHAMPANA,29709,LA PIUMA MARCA EXCLUSIVA,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,3208370,Jabon Liq Espum Bamboo Forest,406,CUIDADO CORPORAL,1230,JABON LIQUIDOS,14401,PERSONAL CHOICE MARCA EXCLUSIV,MARCA EXCLUSIVA                                   ,Insuperables Marca Propia
Gran Consumo,Éxito,3211605,Aceite de Coco Organico,403,ACEITES COMESTIBLES,7840,OTROS ACEITES,50000,TAEQ,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3226878,Almendra Natural,59,PASABOCAS,5620,OTROS DE REPOSTERIA,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3250382,Harina de Maiz Precocida Amar,93,GALLETAS Y HARINAS,4525,HARINA PRECOCIDA MAIZ,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3250386,Harina de Maiz Precocida Blan,93,GALLETAS Y HARINAS,4525,HARINA PRECOCIDA MAIZ,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3254338,Caldo De Gallina 12 Cubos,402,SALSAS Y CONDIMENTOS,6610,CALDOS GALLINA,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3254342,Caldo De Gallina 8 Cubos,402,SALSAS Y CONDIMENTOS,6610,CALDOS GALLINA,80000,EKONO,MARCA PROPIA                                      ,Insuperables Marca Propia
Gran Consumo,Éxito,3254344,Caldo De Costilla 8 Cubos,402,SALSAS Y CONDIMENTOS,6620,CALDOS OTROS,17798,FRESCAMPO,MARCA PROPIA                                      ,Insuperables Marca Propia
