,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Info para aplicar SR,Info para negocio dctos pos,,
insuperables ciclo 2 ,,,,,,,,,,,,
Negociador,PROVEEDOR,SUB,CATEGORIA,SUBCATEGORIA,MARCA,PLU,DESCRIPCION PLU,Presentacion,PRECIO APLICAR SR, Dcto pos aplica el negocio ,Observación,
Vero Castañeda,LOREAL COLOMBIA S.A.,64,MAQUILLAJE,PESTANINA,MAYBELLINE,3214189,Pestanina Sky High WSH Negro,7.2 ML,"$62,900 ",35%,,
Vero Castañeda,LOREAL COLOMBIA S.A.,64,TRATAMIENTOS,LIMPIADORA,GARNIER SKIN ACTIVE,1203843,Agua micelar original,400 ML,"$30,250 ",15%,,
Kathe A,TONING S.A.S,93,AVENAS,AVENAS,TONING,3667850,Avena Hojuelas Sin Gluten,800 G,"$12,550 ",15%,,
Carolina,GASEOSAS LUX S.A.S,63,GASEOSAS,SODAS Y MEZCLADORES,BRETANA,622793,Gaseosa Soda Súper Gigante,2500 ML,"$5,990 ",10%,,
Kathe A,HARINERA DEL VALLE S.A.,93,HARINAS,HARINA DE TRIGO,HAZ DE OROS,13520,Harina de trigo tradicional,500 G,"$2,250 ",10%,,
Alba,COLGATE PALMOLIVE COMPANIA.,405,LAVALOZA,LAVALOZAS LIQUIDOS,AXION,3584462,Lavaplatos líquido  explosión cítrica doypack,1.5 L,"$14,300 ",15%,,
Maria Camila,GRIFFITH FOODS S.A.SGRIFFITH F,402,MAYONESAS,SALSA BASE MAYONESA,ZAFRAN,3699838,Salsa Mayo Mostaza Original,400 G,"$10,900 ",15%,,
Maria Camila,NESTLE DE COLOMBIA S.A.,402,CALDOS,CALDOS GALLINA,MAGGI,3669610,Ricontodo Caldo De Gallina Des,90 G,"$4,650 ",15%,,
Maria Camila,NESTLE DE COLOMBIA S.A.,402,CALDOS,CALDOS GALLINA,MAGGI,129871,CALDO DE GALLINA X 12 CUBOS,132 G,"$5,550 ",15%,,
Carla,BAYER.S.A,406,TALCOS,TALCO SPRAY HOMBRE,MEXSANA,106457,Talco En Spray Dúo Pack Avena,520 ML,"$33,500 ",N.A,Aplica precio,
Kathe A,NESTLE DE COLOMBIA S.A.,69,MODIFICADORES DE LECHE,BEBIDAS CHOCOLATADAS,MILO NUTRI FIT,80046,BEBIDA ACHOCOLATADA EN POLVO NUTRIT FIT,500 G,"$29,500 ",15%,,
Kathe A,NESTLE DE COLOMBIA S.A.,69,ALIMENTO LACTEO EN POLVO,LECHE EN POLVO FUNCIONAL,EL RODEO,3666454,Alimento lácteo en polvo,600 G,"$18,550 ",15%,,
Kathe A,NESTLE DE COLOMBIA S.A.,93,GALLETAS SALADAS,CRACKERS SABORIZADA,SALTINAS,3556910,Galletas de  Mantequilla x 5 tacos,480 G,"$10,900 ",15%,,
Carla,UNILEVER ANDINA COLOMBIA LTDA,96,BALSAMOS Y ACONDICIONADORES,CREMAS PARA PEINAR,SAVITAL,3726783,Crema Peinar Elixir De Romero,275 ML,"$16,250 ",20%,Enviado a SR 10 Marzo,
Carla,UNILEVER ANDINA COLOMBIA LTDA,96,TRATAMIENTO CAPILAR,TRATAMIENTOS CAPILARES,SAVITAL,3726779,Tratamiento Capilar Elixir De,425 ML,"$18,900 ",20%,Enviado a SR 10 Marzo,
Carolina,TERRAFERTIL COLOMBIA S.A.S,63,BEBIDAS DE CEREALES,FRUTOS,NATURE'S HEART,1752280,Bebida almendras,946 ML,"$16,200 ",20%,Enviado a SR 10 Marzo,
Carolina,PISA FARMACEUTICA DE COLOMBIA,63,BEBIDAS HIDRATANTES,BEBIDAS HIDRATANTES,ELECTROLIFE,3795729,Bebida Hidratante Naranja-Mand,625 ML,"$7,400 ",15%,Enviado a SR 10 Marzo,
Alba,Azul K,97,JABONES DE LAVAR,JABON DE LAVAR LIMPIEZA BASICA,SUPER RIEL,1752876,JABON DE LAVAR X 3,840 G,"$7,090 ",15%,,
Alba,Azul K,97,JABONES DE LAVAR,JABON DE LAVAR LIMPIEZA BASICA,TOP,3749177,Detergente Liquido Ropa Color,3000 ML,"$40,950 ","$27,950 ",25.950=,35%
Alba,Azul K,97,JABONES DE LAVAR,JABON DE LAVAR LIMPIEZA BASICA,TOP,3749175,Detergente Polvo cuidado y limpieza,4000 G,"$42,000 ","$28,950 ",26950=,35%
